perm_acc,main_folder,sub_folder,processing_time
0.543333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute228_WINS_BINS_FC_BOLD_all,1769148620
0.546666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute229_WINS_BINS_FC_BOLD_all,1769148619
0.456333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute22_WINS_BINS_FC_BOLD_all,1769148639
0.539666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute230_WINS_BINS_FC_BOLD_all,1769148623
0.3905,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute231_WINS_BINS_FC_BOLD_all,1769148623
0.546,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute232_WINS_BINS_FC_BOLD_all,1769148623
0.533333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute233_WINS_BINS_FC_BOLD_all,1769148618
0.464833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute234_WINS_BINS_FC_BOLD_all,1769148617
0.631333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute235_WINS_BINS_FC_BOLD_all,1769148618
0.605333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute236_WINS_BINS_FC_BOLD_all,1769148618
0.496333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute237_WINS_BINS_FC_BOLD_all,1769148623
0.5445,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute238_WINS_BINS_FC_BOLD_all,1769148623
0.585333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute239_WINS_BINS_FC_BOLD_all,1769148623
0.574666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute23_WINS_BINS_FC_BOLD_all,1769148623
0.490833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute240_WINS_BINS_FC_BOLD_all,1769148623
0.493333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute241_WINS_BINS_FC_BOLD_all,1769148623
0.4885,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute242_WINS_BINS_FC_BOLD_all,1769148623
0.487833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute243_WINS_BINS_FC_BOLD_all,1769148623
0.492166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute244_WINS_BINS_FC_BOLD_all,1769148623
0.532,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute245_WINS_BINS_FC_BOLD_all,1769148623
0.492,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute246_WINS_BINS_FC_BOLD_all,1769148623
0.4965,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute247_WINS_BINS_FC_BOLD_all,1769148623
0.5055,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute248_WINS_BINS_FC_BOLD_all,1769148623
0.380666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute249_WINS_BINS_FC_BOLD_all,1769148623
0.640166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute24_WINS_BINS_FC_BOLD_all,1769148623
0.419666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute250_WINS_BINS_FC_BOLD_all,1769148625
0.600666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute251_WINS_BINS_FC_BOLD_all,1769148622
0.521333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute252_WINS_BINS_FC_BOLD_all,1769148622
0.472666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute253_WINS_BINS_FC_BOLD_all,1769148615
0.320833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute254_WINS_BINS_FC_BOLD_all,1769148615
0.555,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute255_WINS_BINS_FC_BOLD_all,1769148616
0.552,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute256_WINS_BINS_FC_BOLD_all,1769148616
0.482833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute257_WINS_BINS_FC_BOLD_all,1769148616
0.557333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute258_WINS_BINS_FC_BOLD_all,1769148616
